State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Gujarat,Dwarka,3 Star,Without Alcohol,Bapuâ€™s Resort (Unit of Bapu Enterprise),"S.NO 389P1, NH 8E Village Vachhu, Dwarka, Dwarka Dwarka ",52
Gujarat,Jamnagar,3 Star,Without Alcohol,Highway Hari,"Jamnagar-Dwarka Highway, Near Vasai Toll booth, Ravalsar Patiya, ",19
Gujarat,Kutch,3 Star,Without Alcohol,ambar sarovar portico,"plot no-100,sector-8,near oslo circle Gandhidham,Kutch,Gujarat,Pin-370201",58
Gujarat,Mahesana,3 Star,Without Alcohol,HOTEL SHIVALIK,"Nugar Bypass Highway,Iskon Circle Opp Essar Petrol Pump, Nugar Mehsana",30
Gujarat,Morabi,3 Star,Without Alcohol,"Sarovar Portico, Unit of Specific Ceramic Hotel","Iskon Tiles Zone, 8-A National Highway, Rafaleshwar",59
Gujarat,Morbi,3 Star,Without Alcohol,Khajoora Hotel n Resort,"Rajkot - Morbi HIghway, Tankara",40
Gujarat,Morvi,3 Star,Without Alcohol,DARIYALAL HOTEL ,"Survey no. 66 paiki 1, 66 paiki 2 and 68 paiki 2, Village- Jambudiya, Taluka- Morbi, District- Morbi-363642",18
Gujarat,Morvi,3 Star,Without Alcohol,HOTEL THE GRAND VAIBHAV,"LAKHDHIRPUR ROAD, N.H. 8A, MORBI - 363642",35
Gujarat,Morvi,3 Star,Without Alcohol,Lords Eco Inn unit of Hotel Seven Paradise,"Pipli Jetpar Road, Seven Cera Mall, Village Bela, Morbi",40
Gujarat,Morvi,3 Star,Without Alcohol,OAK TREE,SURVEY NO 22 JAMBUDIYA N H NO 27 A MORBI 363641 ,52
Gujarat,Morvi,3 Star,Without Alcohol,Regenta Inn Unit of Hotel The Grand Dharmendra,Near HDFC Bank opp. shakti Chamber 8-a Natioanl highway lalpar Road Morvi,54
Gujarat,Porbandar,3 Star,Without Alcohol,LORDS ECO INN,"Chowpati Road, Near Circuit House,",29
Gujarat,Porbandar,3 Star,Without Alcohol,Lords Eco Inn ( A Unit of Delite Enterprise ) ,"Near Circuit House , Chopati Road , Porbandar ",29
Gujarat,Rajkot,3 Star,Without Alcohol,AARYARAJ CLUB AND RESORTS,"Opposite Gardi Vidyapith, Kallavad Road Chappra Rajkot 361162 Rajkot Rajkot",28
Gujarat,Rajkot,3 Star,Without Alcohol,"Hotel Comfort INN Legacy, Prop. S Kumar Associates Private Limited.","Limada Chowk, Near Lalbahadur Shastri Maidan, Panchnath Road.",37
Gujarat,Rajkot,3 Star,Without Alcohol,Hotel KK Beacon (A Unit of Hotel K.K. (India) Private Limited),"The KK Circle, Kalawad Main Road, Rajkot Rajkot Rajkot Rajkot",34
Gujarat,Rajkot,3 Star,Without Alcohol,Krishna Park Resort (A unit of Messrs Hotel Krishna Park Nursary),"Krishna Park Circle, Gondal Road, Vavdi, Rajkot Rajkot",29
Gujarat,Rajkot,3 Star,Without Alcohol,marasa sarovar portico rajkot ,"dr. rajendra prasad road, limda chowk, opposite shastri maidan,rajkot ",68
Gujarat,Rajkot,3 Star,Without Alcohol,Phoenix Hospitality,"Kalawad Road, Ishwariya Road Corner, Rajkot - Gujarat",24
Gujarat,Rajkot,3 Star,Without Alcohol,REGENCY LAGOON RESORT,"NYARI DAM ROAD, OFF. KALAWAD ROAD. RAJKOT",120
